employee_id,name,department,salary,city,join_date,years_exp,status
EMP0001,Employee_1,Operations,102097,Delhi,2017-07-03,5,Active
EMP0002,Employee_2,Operations,172964,Mumbai,2021-08-15,14,Active
EMP0003,Employee_3,Engineering,90990,Chennai,2021-10-01,1,Inactive
EMP0004,Employee_4,Operations,172853,Hyderabad,2017-06-21,15,On Leave
EMP0005,Employee_5,Engineering,71853,Pune,2019-09-28,11,On Leave
EMP0006,Employee_6,Sales,118236,Mumbai,2016-01-15,13,Active
EMP0007,Employee_7,Marketing,99342,Kolkata,2015-06-27,15,Active
EMP0008,Employee_8,Finance,106854,Kolkata,2022-01-18,20,On Leave
EMP0009,Employee_9,HR,48233,Mumbai,2022-06-01,8,On Leave
EMP0010,Employee_10,Engineering,56476,Hyderabad,2018-02-12,15,On Leave
EMP0011,Employee_11,Sales,84921,Pune,2017-12-29,3,Inactive
EMP0012,Employee_12,HR,72834,Hyderabad,2019-04-04,9,Inactive
EMP0013,Employee_13,Operations,44663,Delhi,2015-05-12,11,
EMP0014,Employee_14,Marketing,178682,Pune,2018-07-12,7,
EMP0015,Employee_15,Finance,150285,Delhi,2017-12-20,5,Inactive
EMP0016,Employee_16,Operations,98876,Pune,2021-07-22,14,
EMP0017,Employee_17,Marketing,66262,Chennai,2020-07-14,3,Active
EMP0018,Employee_18,Engineering,71938,Kolkata,2022-08-19,14,Active
EMP0019,Employee_19,Finance,152696,Chennai,2017-10-26,18,Active
EMP0020,Employee_20,Operations,170763,Kolkata,2017-12-28,11,Active
EMP0021,Employee_21,Marketing,148940,Mumbai,2023-02-05,9,Inactive
EMP0022,Employee_22,HR,108235,Kolkata,2022-03-02,17,Inactive
EMP0023,Employee_23,Sales,72349,Chennai,2020-12-12,1,On Leave
EMP0024,Employee_24,Finance,,Bangalore,2018-06-13,8,Active
EMP0025,Employee_25,Sales,50645,Mumbai,2023-03-17,16,Active
EMP0026,Employee_26,HR,63657,Pune,2020-04-30,18,Inactive
EMP0027,Employee_27,Marketing,140923,Delhi,2021-01-17,7,On Leave
EMP0028,Employee_28,Finance,127889,Hyderabad,2020-10-20,15,Active
EMP0029,Employee_29,Sales,118627,Mumbai,2021-08-06,18,Inactive
EMP0030,Employee_30,HR,48610,Pune,2022-01-28,2,Inactive
EMP0031,Employee_31,Engineering,116619,Mumbai,2020-10-06,8,On Leave
EMP0032,Employee_32,Operations,171356,Delhi,2023-02-10,19,
EMP0033,Employee_33,Sales,136708,Delhi,2016-01-22,4,
EMP0034,Employee_34,Marketing,152427,Kolkata,2023-03-06,2,Active
EMP0035,Employee_35,Engineering,118946,Kolkata,2016-03-23,8,Inactive
EMP0036,Employee_36,Sales,66747,Hyderabad,2017-01-21,9,
EMP0037,Employee_37,Sales,49761,Hyderabad,2021-03-04,4,Active
EMP0038,Employee_38,Operations,33868,Mumbai,2017-08-26,6,
EMP0039,Employee_39,Finance,135130,Mumbai,2016-11-05,13,Active
EMP0040,Employee_40,Finance,149277,Bangalore,2019-09-29,18,
EMP0041,Employee_41,Sales,87068,Mumbai,2021-06-30,18,Active
EMP0042,Employee_42,Operations,43144,Chennai,2020-05-06,17,Inactive
EMP0043,Employee_43,Engineering,51000,Kolkata,2017-01-31,3,Active
EMP0044,Employee_44,Operations,135847,Mumbai,2021-05-22,8,Active
EMP0045,Employee_45,HR,178170,Chennai,2018-07-19,9,Inactive
EMP0046,Employee_46,Operations,92570,Bangalore,2019-06-10,5,On Leave
EMP0047,Employee_47,Finance,49016,Mumbai,2020-02-21,20,Active
EMP0048,Employee_48,Engineering,162614,Bangalore,2016-06-26,12,Active
EMP0049,Employee_49,Sales,71352,Hyderabad,2021-02-03,10,Active
EMP0050,Employee_50,Operations,108480,Pune,2016-02-29,5,On Leave
EMP0051,Employee_51,Engineering,175024,Delhi,2018-01-20,10,Inactive
EMP0052,Employee_52,Operations,99201,Chennai,2020-06-24,9,Active
EMP0053,Employee_53,Engineering,102530,Mumbai,2015-01-15,11,Inactive
EMP0054,Employee_54,Operations,72357,Pune,2019-12-15,18,
EMP0055,Employee_55,HR,,Mumbai,2022-10-01,5,Active
EMP0056,Employee_56,Marketing,68821,Hyderabad,2016-06-06,2,On Leave
EMP0057,Employee_57,Marketing,40458,Bangalore,2017-05-10,8,Active
EMP0058,Employee_58,Marketing,136529,Chennai,2016-09-25,8,Inactive
EMP0059,Employee_59,Sales,36497,Delhi,2018-09-22,14,Inactive
EMP0060,Employee_60,Marketing,58336,Hyderabad,2015-06-08,16,Inactive
EMP0061,Employee_61,Sales,150665,Bangalore,2018-06-04,8,Inactive
EMP0062,Employee_62,Engineering,134455,Bangalore,2018-02-15,3,On Leave
EMP0063,Employee_63,Marketing,134773,Pune,2021-01-05,11,Active
EMP0064,Employee_64,Engineering,98475,Delhi,2021-07-06,9,Active
EMP0065,Employee_65,Engineering,120619,Pune,2018-07-08,14,Active
EMP0066,Employee_66,Finance,79828,Bangalore,2015-07-01,14,Active
EMP0067,Employee_67,HR,171151,Pune,2023-01-25,7,On Leave
EMP0068,Employee_68,Finance,116559,Chennai,2018-07-09,4,On Leave
EMP0069,Employee_69,HR,137057,Bangalore,2019-07-07,10,Inactive
EMP0070,Employee_70,Sales,129390,Pune,2016-12-13,20,On Leave
EMP0071,Employee_71,Finance,30106,Bangalore,2018-03-21,7,
EMP0072,Employee_72,HR,114475,Hyderabad,2019-12-15,15,Inactive
EMP0073,Employee_73,HR,74483,Pune,2015-12-14,10,On Leave
EMP0074,Employee_74,Engineering,91569,Pune,2018-06-25,8,Inactive
EMP0075,Employee_75,Sales,,Delhi,2020-04-30,20,Active
EMP0076,Employee_76,Finance,80970,Pune,2022-10-23,13,
EMP0077,Employee_77,Finance,31453,Kolkata,2016-03-12,14,Inactive
EMP0078,Employee_78,Sales,165779,Hyderabad,2015-07-25,18,Inactive
EMP0079,Employee_79,Engineering,151803,Pune,2020-12-15,18,On Leave
EMP0080,Employee_80,Finance,162324,Hyderabad,2021-02-22,15,Inactive
EMP0081,Employee_81,Operations,147983,Bangalore,2017-10-09,9,
EMP0082,Employee_82,Operations,145309,Mumbai,2023-01-01,10,Inactive
EMP0083,Employee_83,Marketing,171597,Mumbai,2016-07-20,5,Inactive
EMP0084,Employee_84,Finance,86086,Mumbai,2019-08-27,14,On Leave
EMP0085,Employee_85,HR,46322,Delhi,2019-09-17,13,Active
EMP0086,Employee_86,HR,31545,Bangalore,2018-05-08,13,
EMP0087,Employee_87,HR,173165,Kolkata,2021-10-06,8,
EMP0088,Employee_88,Sales,157308,Mumbai,2019-05-12,11,
EMP0089,Employee_89,Operations,152523,Delhi,2021-12-23,18,Active
EMP0090,Employee_90,Finance,37104,Mumbai,2022-03-17,14,Inactive
EMP0091,Employee_91,Finance,98198,Hyderabad,2018-09-02,7,
EMP0092,Employee_92,Marketing,129385,Bangalore,2019-09-23,9,Active
EMP0093,Employee_93,Finance,,Chennai,2015-08-02,12,Inactive
EMP0094,Employee_94,Operations,40553,Kolkata,2015-05-08,8,Inactive
EMP0095,Employee_95,Engineering,92533,Delhi,2020-04-23,4,Inactive
EMP0096,Employee_96,Finance,126703,Delhi,2021-10-17,20,Active
EMP0097,Employee_97,Sales,58337,Chennai,2015-04-16,10,
EMP0098,Employee_98,Finance,81990,Mumbai,2021-08-22,8,Active
EMP0099,Employee_99,Operations,61733,Kolkata,2021-05-07,2,On Leave
EMP0100,Employee_100,HR,127142,Mumbai,2020-09-03,11,Active
EMP0101,Employee_101,Finance,57666,Hyderabad,2019-01-23,15,Inactive
EMP0102,Employee_102,Finance,166772,Pune,2018-01-11,20,
EMP0103,Employee_103,Finance,100358,Bangalore,2017-10-02,3,On Leave
EMP0104,Employee_104,Finance,151820,Chennai,2021-11-04,13,On Leave
EMP0105,Employee_105,Engineering,115200,Delhi,2020-06-20,7,On Leave
EMP0106,Employee_106,Marketing,102422,Chennai,2015-02-11,17,Inactive
EMP0107,Employee_107,Engineering,136542,Hyderabad,2021-03-24,8,
EMP0108,Employee_108,Operations,147486,Kolkata,2015-03-12,3,On Leave
EMP0109,Employee_109,Sales,93780,Bangalore,2022-06-12,19,On Leave
EMP0110,Employee_110,Finance,120113,Hyderabad,2021-03-04,11,On Leave
EMP0111,Employee_111,Operations,110379,Bangalore,2017-08-02,4,Inactive
EMP0112,Employee_112,Marketing,170473,Kolkata,2022-09-27,6,Inactive
EMP0113,Employee_113,Sales,102482,Pune,2021-08-11,17,On Leave
EMP0114,Employee_114,Engineering,107659,Delhi,2019-01-18,6,On Leave
EMP0115,Employee_115,Engineering,63182,Bangalore,2015-07-06,2,On Leave
EMP0116,Employee_116,Operations,158680,Mumbai,2015-02-20,19,On Leave
EMP0117,Employee_117,Finance,119314,Delhi,2015-07-30,9,
EMP0118,Employee_118,Engineering,135043,Hyderabad,2015-10-31,19,Active
EMP0119,Employee_119,Sales,177545,Bangalore,2015-12-15,8,Active
EMP0120,Employee_120,HR,89162,Kolkata,2020-11-10,13,
EMP0121,Employee_121,Finance,142415,Bangalore,2021-05-18,20,Active
EMP0122,Employee_122,HR,56013,Kolkata,2017-05-01,7,On Leave
EMP0123,Employee_123,Operations,92879,Delhi,2021-03-10,3,Inactive
EMP0124,Employee_124,Engineering,153184,Bangalore,2015-05-14,8,On Leave
EMP0125,Employee_125,Operations,149021,Mumbai,2022-09-16,8,On Leave
EMP0126,Employee_126,Operations,81857,Hyderabad,2016-04-15,18,Inactive
EMP0127,Employee_127,Operations,99633,Kolkata,2016-08-05,3,Active
EMP0128,Employee_128,Sales,179214,Bangalore,2019-12-04,4,
EMP0129,Employee_129,Operations,135515,Bangalore,2020-08-11,18,
EMP0130,Employee_130,Finance,40449,Hyderabad,2018-08-13,20,On Leave
EMP0131,Employee_131,Engineering,35438,Kolkata,2022-07-16,9,Active
