product_id,product_name,category,price
111,Phased national access,Clothing,487.07
83,Total value-added artificial intelligence,Electronics,-475.64
68,Seamless executive Local Area Network,Sports & Outdoors,85.98
28,Decentralized tangible model,Books,163.86
62,Re-engineered object-oriented projection,Books,140.9
71,Self-enabling reciprocal orchestration,Beauty,30.55
8,Enterprise-wide value-added software,Toys,196.25
65,Inverse systematic migration,Clothing,45.85
70,Sharable global instruction set,Home & Kitchen,133.69
44,Front-line next generation Internet solution,Home & Kitchen,3.54
36,Mandatory high-level contingency,Home & Kitchen,398.45
26,Monitored hybrid software,Beauty,430.94
118,Optional hybrid encryption,Books,172.36
33,Seamless empowering contingency,Home & Kitchen,203.22
77,Future-proofed leadingedge time-frame,Clothing,402.76
52,Re-contextualized actuating infrastructure,Beauty,396.17
81,De-engineered upward-trending encoding,Clothing,367.03
59,Function-based grid-enabled adapter,Home & Kitchen,11.29
16,Proactive reciprocal ability,Books,278.79
48,Proactive client-driven product,Books,321.86
20,Grass-roots mobile contingency,Electronics,398.55
80,Down-sized contextually-based adapter,Clothing,233.57
55,Phased responsive attitude,Electronics,392.55
44,Front-line next generation Internet solution,Home & Kitchen,3.54
98,Reactive leadingedge challenge,Electronics,415.7
88,Progressive well-modulated artificial intelligence,Electronics,219.19
30,Advanced 24/7 service-desk,Sports & Outdoors,433.92
13,Secured heuristic collaboration,Home & Kitchen,337.04
108,Distributed exuding access,Beauty,241.4
6,Phased foreground help-desk,Grocery,118.23
92,Fully-configurable user-facing forecast,Beauty,482.42
39,Multi-layered high-level initiative,Grocery,11.09
107,Multi-lateral incremental firmware,Clothing,316.48
116,Adaptive neutral hub,Grocery,272.44
13,Secured heuristic collaboration,Home & Kitchen,337.04
69,Self-enabling client-server concept,Home & Kitchen,386.4
85,Customer-focused bandwidth-monitored architecture,Electronics,486.36
3,Horizontal background initiative,Grocery,161.5
99,Total needs-based conglomeration,Beauty,344.08
119,Diverse transitional support,Electronics,13.89
53,Cross-platform system-worthy complexity,Sports & Outdoors,390.15
15,Configurable systematic protocol,Toys,213.25
39,Multi-layered high-level initiative,Grocery,11.09
37,Proactive interactive database,Grocery,136.46
104,Integrated grid-enabled matrices,Books,139.67
61,Synergistic real-time customer loyalty,Toys,213.52
50,Intuitive zero tolerance matrix,Toys,309.19
35,Future-proofed methodical pricing structure,Home & Kitchen,366.27
96,Multi-channeled fresh-thinking leverage,Books,18.45
57,Fundamental high-level hierarchy,Beauty,467.16
66,Pre-emptive zero-defect support,sports & outdoors,334.04
54,Centralized didactic extranet,Sports & Outdoors,105.11
11,Front-line empowering database,Beauty,299.69
67,Organized attitude-oriented implementation,Books,351.65
60,Open-source bottom-line hardware,Electronics,474.49
115,Implemented radical emulation,Beauty,473.94
25,Quality-focused 5thgeneration middleware,Home & Kitchen,221.22
4,Synergistic value-added Graphical User Interface,Beauty,325.04
95,Assimilated 5thgeneration protocol,Beauty,199.93
47,Advanced context-sensitive instruction set,Home & Kitchen,54.29
7,Extended object-oriented flexibility,Toys,199.6
112,Team-oriented mobile system engine,Electronics,382.73
97,Persistent needs-based flexibility,Clothing,50.08
75,Implemented tertiary flexibility,Toys,114.58
9,Ergonomic modular support,Home & Kitchen,289.94
32,Cross-platform fresh-thinking hierarchy,Sports & Outdoors,315.02
27,Vision-oriented context-sensitive knowledgebase,Clothing,407.32
34,Reactive empowering encoding,Grocery,
2,Total empowering encryption,Grocery,392.78
58,Realigned next generation workforce,Beauty,274.54
87,Assimilated zero administration infrastructure,Home & Kitchen,291.64
12,Focused dedicated encryption,Grocery,309.83
22,Object-based directional system engine,Home & Kitchen,287.64
105,Quality-focused discrete workforce,Clothing,324.7
45,Multi-tiered dedicated circuit,Grocery,7.62
31,Expanded homogeneous paradigm,Beauty,414.76
10,Exclusive disintermediate support,Clothing,230.4
43,Up-sized encompassing website,Sports & Outdoors,363.82
19,Intuitive modular orchestration,Grocery,209.57
64,Vision-oriented executive help-desk,Home & Kitchen,157.15
14,Vision-oriented bi-directional capability,Beauty,347.64
93,Organic responsive capacity,Home & Kitchen,47.94
117,Ergonomic incremental open architecture,Clothing,12.9
106,Cross-group leadingedge function,Home & Kitchen,142.05
109,Adaptive multi-state task-force,Beauty,196.03
114,Visionary intermediate website,beauty,403.69
78,Multi-lateral value-added parallelism,Grocery,433.42
