order_item_id,order_id,product_id,quantity,unit_price
5046,1690,72,4,436.01
1475,502,18,4,380.64
6264,2091,62,4,143.62
3315,1120,113,4,190.88
1949,666,102,4,449.9
8058,2671,64,6,389.87
5462,1823,28,4,128.38
6933,2313,15,5,6.63
2824,951,79,3,470.22
410,141,87,1,362.66
7246,2415,80,5,124.63
1911,653,71,6,92.96
2870,968,35,3,314.89
71,23,39,3,79.48
2818,950,64,5,321.22
604,212,13,3,438.14
8379,2779,58,2,198.68
4017,1341,72,4,257.69
8736,2892,36,1,321.31
786,270,65,1,287.54
1974,676,60,1,184.75
5601,1874,15,2,337.37
3827,1285,78,3,197.28
8773,2902,75,2,31.14
1795,612,52,5,171.21
393,135,60,5,34.77
489,169,72,4,416.23
541,188,24,1,73.26
8361,2772,76,5,275.39
5177,1731,44,3,220.25
6765,2259,64,6,121.76
3604,1216,35,3,475.8
8571,2840,22,4,93.54
935,319,112,3,87.76
4808,1606,82,4,499.84
7935,2634,63,3,276.84
8586,2844,38,5,415.54
3135,1055,47,4,71.18
7108,2371,55,4,120.76
7430,2475,97,3,76.05
4575,1528,105,6,454.13
1568,535,28,1,217.29
3140,1057,67,6,94.36
4850,1619,48,1,212.09
4691,1568,119,4,16.64
2026,693,98,6,144.82
8962,2966,110,5,373.17
8718,2886,47,2,168.13
5808,1939,66,1,58.38
3476,1177,106,3,168.86
3725,1249,45,5,218.32
94,32,54,3,103.65
1571,536,23,6,451.67
6680,2230,40,2,475.8
5762,1924,99,4,106.49
726,251,8,4,475.33
8890,2942,104,2,117.11
7164,2389,37,4,254.31
915,313,71,6,121.12
7315,2437,22,2,92.56
4063,1355,84,3,13.23
8821,2922,76,4,190.15
4675,1563,64,1,338.1
3682,1237,45,5,218.87
917,314,29,1,82.33
5901,1965,38,2,369.78
1041,355,19,3,456.93
897,306,6,2,46.24
6658,2223,89,3,63.52
6931,2312,51,6,422.3
166,56,48,4,424.95
4590,1533,106,4,337.95
6018,2007,16,1,344.64
7568,2519,78,5,474.62
3976,1328,66,1,491.62
8946,2961,87,6,399.25
1808,618,45,2,321.66
4025,1343,4,6,416.87
8460,2804,35,3,348.34
2507,846,92,4,225.04
3211,1086,47,2,196.69
3947,1321,54,5,445.76
6255,2088,6,4,114.35
4600,1535,81,1,195.33
7486,2494,25,6,191.24
953,324,48,1,481.19
5545,1853,85,1,340.67
3279,1108,21,4,336.26
5620,1880,25,6,254.68
8389,2781,57,4,133.73
3583,1211,78,5,240.73
8157,2702,90,6,235.97
1069,364,78,1,344.37
6666,2225,113,4,328.98
1686,573,15,4,283.31
2374,809,101,1,17.56
6401,2132,18,3,38.97
2607,878,48,3,256.9
7358,2452,79,4,438.74
1389,474,113,5,209.78
6496,2169,52,4,179.76
8408,2786,47,4,309.92
8404,2785,55,4,99.68
4145,1381,61,4,151.33
6957,2319,92,5,290.04
1824,624,117,3,63.04
2378,810,71,3,294.34
7921,2630,102,2,382.32
4541,1518,70,4,118.47
4641,1551,45,1,362.51
1191,403,82,4,297.1
7234,2411,36,2,441.98
7100,2368,20,2,433.07
7437,2478,30,5,172.4
7106,2371,36,3,383.69
8954,2963,46,2,466.05
4737,1584,87,6,8.52
5518,1845,32,3,33.98
5318,1773,73,4,76.85
2758,929,22,6,377.83
8578,2842,41,2,209.49
7957,2640,79,3,69.3
6532,2181,58,3,332.74
3920,1312,8,6,337.14
7089,2365,89,2,255.77
4559,1524,17,2,70.84
8518,2824,10,4,23.66
3432,1160,79,1,422.9
4582,1530,61,6,201.06
5259,1754,66,4,375.86
4189,1399,17,1,201.16
3223,1090,103,1,424.23
6281,2098,11,5,269.34
8357,2770,17,1,390.22
48,16,76,5,462.88
4778,1596,31,4,99.98
4565,1525,63,6,332.81
309,109,57,2,39.37
3100,1047,110,6,410.62
7382,2458,54,1,228.38
2605,877,51,4,245.61
7228,2409,27,2,81.43
2674,900,22,5,208.92
6258,2089,118,4,106.86
6576,2198,27,2,122.24
6857,2286,85,2,355.22
3029,1020,91,4,259.64
3125,1053,66,6,286.99
8450,2801,12,3,259.92
2076,710,67,1,461.88
5927,1972,108,3,492.48
6728,2244,23,5,227.42
578,202,7,2,177.43
8705,2882,64,6,257.56
840,292,30,5,100.2
7949,2638,86,2,488.51
8342,2764,41,5,168.63
7582,2524,10,2,385.01
7753,2576,102,1,223.48
1352,463,107,3,125.18
3269,1105,95,4,130.59
5745,1920,9,1,9.21
6650,2221,24,4,447.26
4074,1359,85,3,305.31
6676,2229,120,4,13.06
2509,846,20,6,454.22
7230,2410,60,2,307.6
7610,2532,94,4,226.67
1505,512,77,4,31.26
4697,1569,4,2,429.32
5639,1885,26,2,244.44
6131,2049,43,6,18.85
1856,634,100,3,11.3
7597,2528,101,1,436.46
5960,1984,112,1,28.56
3216,1087,55,1,474.82
6416,2136,115,6,391.95
80,27,36,1,235.92
1089,371,8,5,376.65
1420,482,18,6,381.98
125,42,98,3,334.82
2652,894,119,1,224.28
6345,2117,41,1,459.67
1434,487,84,1,51.89
3860,1293,17,5,335.21
1731,589,40,1,493.93
7379,2458,54,3,21.42
8875,2936,69,6,307.28
5130,1714,1,2,43.63
8948,2961,61,5,26.91
1262,430,77,1,355.23
5349,1782,26,5,344.52
2832,955,5,3,337.77
4746,1586,110,4,62.31
1879,643,49,4,479.42
6908,2304,8,4,397.66
8863,2934,118,2,153.08
8426,2792,119,5,363.04
5092,1703,8,1,38.62
6377,2125,104,5,443.76
403,138,96,2,281.55
3987,1333,6,1,455.3
4238,1416,76,6,373.32
7951,2639,71,6,349.48
2999,1008,56,3,14.58
5954,1983,42,6,135.87
1987,680,13,1,56.28
1908,652,44,2,329.56
8371,2776,118,4,447.05
1775,605,94,2,346.5
3204,1084,58,4,414.43
4283,1429,60,3,43.9
5463,1824,108,3,240.41
8136,2696,61,3,404.4
6608,2208,79,2,36.67
3329,1123,74,3,417.95
3025,1017,71,5,442.14
3386,1144,81,3,74.24
5209,1738,21,4,379.61
1397,476,55,1,70.47
5990,1997,44,6,101.63
1781,608,62,3,86.36
7777,2583,103,3,164.5
8327,2759,76,1,63.42
1614,550,87,1,96.37
4534,1515,10,4,378.13
2206,754,64,5,465.19
8512,2821,27,6,127.08
1852,632,26,5,152.22
5097,1705,76,3,14.38
4626,1544,21,5,357.54
5163,1726,80,4,224.0
1398,476,65,2,280.59
4564,1525,77,2,205.58
8499,2816,62,6,25.28
7515,2504,112,6,33.33
116,38,64,2,434.7
6721,2242,91,4,488.95
8995,2974,42,1,442.63
7189,2399,88,4,276.4
7076,2359,88,6,98.8
3565,1206,56,4,83.97
4358,1454,38,2,57.3
3967,1326,94,4,435.04
5996,1999,70,3,123.69
6901,2301,26,1,378.15
4264,1423,57,5,189.46
8105,2687,22,4,229.26
4643,1552,36,4,175.66
3251,1099,24,2,76.84
484,168,62,4,217.77
3726,1249,115,5,25.12
5288,1762,72,3,484.81
2035,695,75,3,148.15
1035,353,112,1,174.65
4234,1414,65,4,348.43
2039,697,75,1,283.84
8782,2906,49,2,217.46
753,260,100,5,113.31
323,112,53,4,426.97
